p,rep,timepoint,abuns
1,1,1,1239
1,1,1,1179
1,1,1,1
1,1,1,17
1,1,1,6
1,1,1,1
1,1,1,8
1,1,1,5
1,1,1,2
1,1,1,8
1,1,1,4
1,1,1,1
1,1,1,22
1,1,1,2
1,1,1,1
1,1,1,2
1,1,1,2
1,1,2,896
1,1,2,1435
1,1,2,50
1,1,2,12
1,1,2,38
1,1,2,2
1,1,2,1
1,1,2,18
1,1,2,24
1,1,2,4
1,1,2,1
1,1,2,5
1,1,2,2
1,1,2,4
1,1,2,6
1,1,2,1
1,1,2,1
1,1,3,926
1,1,3,1256
1,1,3,67
1,1,3,7
1,1,3,38
1,1,3,26
1,1,3,35
1,1,3,15
1,1,3,11
1,1,3,8
1,1,3,17
1,1,3,5
1,1,3,22
1,1,3,3
1,1,3,16
1,1,3,12
1,1,3,20
1,1,3,2
1,1,3,4
1,1,3,2
1,1,3,4
1,1,3,1
1,1,3,3
1,1,4,527
1,1,4,1323
1,1,4,14
1,1,4,301
1,1,4,162
1,1,4,24
1,1,4,40
1,1,4,4
1,1,4,1
1,1,4,27
1,1,4,9
1,1,4,1
1,1,4,5
1,1,4,8
1,1,4,11
1,1,4,3
1,1,4,12
1,1,4,8
1,1,4,2
1,1,4,1
1,1,4,3
1,1,4,7
1,1,4,2
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,4,1
1,1,5,474
1,1,5,1337
1,1,5,146
1,1,5,261
1,1,5,16
1,1,5,32
1,1,5,20
1,1,5,42
1,1,5,33
1,1,5,42
1,1,5,39
1,1,5,1
1,1,5,2
1,1,5,5
1,1,5,13
1,1,5,1
1,1,5,10
1,1,5,4
1,1,5,3
1,1,5,1
1,1,5,3
1,1,5,3
1,1,5,1
1,1,5,2
1,1,5,3
1,1,5,1
1,1,5,1
1,1,5,1
1,1,5,1
1,1,5,1
1,1,5,1
1,1,6,779
1,1,6,1119
1,1,6,171
1,1,6,124
1,1,6,3
1,1,6,2
1,1,6,3
1,1,6,51
1,1,6,26
1,1,6,5
1,1,6,66
1,1,6,19
1,1,6,6
1,1,6,23
1,1,6,21
1,1,6,5
1,1,6,15
1,1,6,1
1,1,6,10
1,1,6,2
1,1,6,19
1,1,6,1
1,1,6,6
1,1,6,2
1,1,6,1
1,1,6,4
1,1,6,2
1,1,6,7
1,1,6,1
1,1,6,1
1,1,6,2
1,1,6,3
1,1,7,892
1,1,7,791
1,1,7,73
1,1,7,177
1,1,7,111
1,1,7,62
1,1,7,75
1,1,7,145
1,1,7,24
1,1,7,11
1,1,7,10
1,1,7,6
1,1,7,26
1,1,7,5
1,1,7,19
1,1,7,1
1,1,7,8
1,1,7,15
1,1,7,9
1,1,7,1
1,1,7,4
1,1,7,19
1,1,7,1
1,1,7,4
1,1,7,6
1,1,7,2
1,1,7,1
1,1,7,1
1,1,7,1
1,1,8,714
1,1,8,633
1,1,8,291
1,1,8,216
1,1,8,73
1,1,8,8
1,1,8,53
1,1,8,35
1,1,8,41
1,1,8,22
1,1,8,113
1,1,8,77
1,1,8,17
1,1,8,9
1,1,8,18
1,1,8,4
1,1,8,8
1,1,8,12
1,1,8,38
1,1,8,16
1,1,8,11
1,1,8,1
1,1,8,27
1,1,8,17
1,1,8,1
1,1,8,2
1,1,8,1
1,1,8,2
1,1,8,7
1,1,8,4
1,1,8,9
1,1,8,1
1,1,8,2
1,1,8,1
1,1,8,3
1,1,8,4
