p,rep,timepoint,abuns
1,1,1,1346
1,1,1,1127
1,1,1,14
1,1,1,1
1,1,1,6
1,1,1,2
1,1,1,4
1,1,2,847
1,1,2,1473
1,1,2,6
1,1,2,71
1,1,2,40
1,1,2,35
1,1,2,16
1,1,2,4
1,1,2,7
1,1,2,1
1,1,3,1164
1,1,3,945
1,1,3,134
1,1,3,16
1,1,3,53
1,1,3,34
1,1,3,118
1,1,3,32
1,1,3,1
1,1,3,2
1,1,3,1
1,1,4,1443
1,1,4,874
1,1,4,75
1,1,4,82
1,1,4,23
1,1,4,2
1,1,4,1
1,1,5,1589
1,1,5,838
1,1,5,55
1,1,5,2
1,1,5,10
1,1,5,6
1,1,6,1740
1,1,6,724
1,1,6,13
1,1,6,18
1,1,6,4
1,1,6,1
1,1,7,1554
1,1,7,828
1,1,7,71
1,1,7,16
1,1,7,29
1,1,7,2
1,1,8,1435
1,1,8,933
1,1,8,96
1,1,8,25
1,1,8,5
1,1,8,4
1,1,8,1
1,1,8,1
1,1,9,1294
1,1,9,1074
1,1,9,125
1,1,9,1
1,1,9,4
1,1,9,2
1,1,10,1150
1,1,10,972
1,1,10,290
1,1,10,55
1,1,10,13
1,1,10,20
1,1,11,1446
1,1,11,727
1,1,11,205
1,1,11,93
1,1,11,14
1,1,11,12
1,1,11,1
1,1,11,2
1,1,12,923
1,1,12,1275
1,1,12,217
1,1,12,52
1,1,12,24
1,1,12,4
1,1,12,2
1,1,12,2
1,1,12,1
1,1,13,1191
1,1,13,1195
1,1,13,112
1,1,13,2
1,1,14,968
1,1,14,1310
1,1,14,174
1,1,14,5
1,1,14,4
1,1,14,3
1,1,14,10
1,1,14,18
1,1,14,6
1,1,14,2
1,1,15,1210
1,1,15,1060
1,1,15,100
1,1,15,22
1,1,15,16
1,1,15,37
1,1,15,19
1,1,15,4
1,1,15,13
1,1,15,14
1,1,15,3
1,1,15,2
1,1,16,1207
1,1,16,1009
1,1,16,8
1,1,16,7
1,1,16,140
1,1,16,24
1,1,16,32
1,1,16,13
1,1,16,30
1,1,16,3
1,1,16,23
1,1,16,4
1,1,17,1339
1,1,17,1081
1,1,17,50
1,1,17,23
1,1,17,1
1,1,17,3
1,1,17,1
1,1,17,1
1,1,17,1
1,1,18,973
1,1,18,1113
1,1,18,37
1,1,18,284
1,1,18,38
1,1,18,6
1,1,18,26
1,1,18,7
1,1,18,3
1,1,18,2
1,1,18,9
1,1,18,2
1,1,19,785
1,1,19,1251
1,1,19,372
1,1,19,66
1,1,19,25
1,1,19,1
1,1,20,596
1,1,20,1352
1,1,20,398
1,1,20,107
1,1,20,24
1,1,20,9
1,1,20,10
1,1,20,4
1,1,21,571
1,1,21,1328
1,1,21,354
1,1,21,99
1,1,21,65
1,1,21,67
1,1,21,3
1,1,21,8
1,1,21,3
1,1,21,1
1,1,21,1
1,1,22,623
1,1,22,1098
1,1,22,444
1,1,22,76
1,1,22,80
1,1,22,92
1,1,22,76
1,1,22,5
1,1,22,2
1,1,22,1
1,1,22,3
1,1,23,552
1,1,23,1389
1,1,23,221
1,1,23,16
1,1,23,206
1,1,23,10
1,1,23,29
1,1,23,72
1,1,23,2
1,1,23,1
1,1,23,2
1,1,24,445
1,1,24,1337
1,1,24,293
1,1,24,190
1,1,24,4
1,1,24,57
1,1,24,43
1,1,24,79
1,1,24,29
1,1,24,6
1,1,24,14
1,1,24,3
1,1,25,535
1,1,25,1191
1,1,25,159
1,1,25,109
1,1,25,151
1,1,25,45
1,1,25,233
1,1,25,1
1,1,25,22
1,1,25,24
1,1,25,7
1,1,25,9
1,1,25,10
1,1,25,1
1,1,25,3
1,1,26,536
1,1,26,1184
1,1,26,107
1,1,26,51
1,1,26,267
1,1,26,223
1,1,26,10
1,1,26,32
