p,rep,timepoint,abuns
1,1,1,1520
1,1,1,918
1,1,1,20
1,1,1,19
1,1,1,9
1,1,1,6
1,1,1,5
1,1,1,2
1,1,1,1
1,1,2,1395
1,1,2,1003
1,1,2,68
1,1,2,4
1,1,2,1
1,1,2,5
1,1,2,6
1,1,2,1
1,1,2,3
1,1,2,11
1,1,2,2
1,1,2,1
1,1,3,1042
1,1,3,1027
1,1,3,226
1,1,3,157
1,1,3,33
1,1,3,15
1,1,4,802
1,1,4,1320
1,1,4,202
1,1,4,101
1,1,4,56
1,1,4,13
1,1,4,6
1,1,5,760
1,1,5,1415
1,1,5,234
1,1,5,36
1,1,5,51
1,1,5,1
1,1,5,1
1,1,5,1
1,1,5,1
1,1,6,509
1,1,6,1474
1,1,6,429
1,1,6,44
1,1,6,17
1,1,6,26
1,1,6,1
1,1,7,542
1,1,7,1342
1,1,7,563
1,1,7,6
1,1,7,4
1,1,7,20
1,1,7,18
1,1,7,5
1,1,8,286
1,1,8,1405
1,1,8,653
1,1,8,4
1,1,8,83
1,1,8,54
1,1,8,8
1,1,8,3
1,1,8,2
1,1,8,2
1,1,9,322
1,1,9,1255
1,1,9,831
1,1,9,24
1,1,9,11
1,1,9,24
1,1,9,1
1,1,9,14
1,1,9,17
1,1,9,1
1,1,10,292
1,1,10,961
1,1,10,1147
1,1,10,59
1,1,10,28
1,1,10,11
1,1,10,1
1,1,10,1
1,1,11,181
1,1,11,815
1,1,11,1391
1,1,11,71
1,1,11,14
1,1,11,8
1,1,11,14
1,1,11,1
1,1,11,3
1,1,11,1
1,1,11,1
1,1,12,277
1,1,12,647
1,1,12,1410
1,1,12,144
1,1,12,21
1,1,12,1
1,1,13,206
1,1,13,714
1,1,13,1304
1,1,13,187
1,1,13,80
1,1,13,1
1,1,13,3
1,1,13,2
1,1,13,1
1,1,13,1
1,1,13,1
1,1,14,43
1,1,14,644
1,1,14,1635
1,1,14,154
1,1,14,10
1,1,14,12
1,1,14,1
1,1,14,1
1,1,15,8
