p,m,sigma,rep,inhull,s_type,first_extinction
1,10,NA,1,NA,1,200.683
1,10,NA,1,NA,2,200.683
1,10,NA,2,NA,1,172.9486
1,10,NA,2,NA,2,172.9486
1,10,NA,3,NA,1,159.8206
1,10,NA,3,NA,2,159.8206
1,10,NA,4,NA,1,232.9334
1,10,NA,4,NA,2,232.9334
1,10,NA,5,NA,1,138.4654
1,10,NA,5,NA,2,138.4654
1,10,NA,6,NA,1,86.5608
1,10,NA,6,NA,2,86.5608
1,10,NA,7,NA,1,301.818
1,10,NA,7,NA,2,301.818
1,10,NA,8,NA,1,186.3624
1,10,NA,8,NA,2,186.3624
1,10,NA,9,NA,1,138.3676
1,10,NA,9,NA,2,138.3676
1,10,NA,10,NA,1,154.9236
1,10,NA,10,NA,2,154.9236
1,10,NA,11,NA,1,204.2502
1,10,NA,11,NA,2,204.2502
1,10,NA,12,NA,1,339.7876
1,10,NA,12,NA,2,339.7876
1,10,NA,13,NA,1,144.9898
1,10,NA,13,NA,2,144.9898
1,10,NA,14,NA,1,171.3214
1,10,NA,14,NA,2,171.3214
1,10,NA,15,NA,1,310.3566
1,10,NA,15,NA,2,310.3566
1,10,NA,16,NA,1,103.5254
1,10,NA,16,NA,2,103.5254
1,10,NA,17,NA,1,108.6752
1,10,NA,17,NA,2,108.6752
1,10,NA,18,NA,1,225.8986
1,10,NA,18,NA,2,225.8986
1,10,NA,19,NA,1,211.448
1,10,NA,19,NA,2,211.448
1,10,NA,20,NA,1,265.673
1,10,NA,20,NA,2,265.673
1,10,NA,21,NA,1,162.2102
1,10,NA,21,NA,2,162.2102
1,10,NA,22,NA,1,175.0436
1,10,NA,22,NA,2,175.0436
1,10,NA,23,NA,1,166.8106
1,10,NA,23,NA,2,166.8106
1,10,NA,24,NA,1,204.9388
1,10,NA,24,NA,2,204.9388
1,10,NA,25,NA,1,129.7226
1,10,NA,25,NA,2,129.7226
1,10,NA,26,NA,1,294.3538
1,10,NA,26,NA,2,294.3538
1,10,NA,27,NA,1,103.0978
